score_rank,site_id,name,terrain_type,area_sqm,is_manual_sample,evaluated_at,airport_score,population_score,ecology_safety_score,noise_safety_score,total_score,nearest_airport_name,nearest_airport_city,nearest_airport_country,nearest_airport_m,nearest_airport_km,airport_count_80km,raw_population_25km,weighted_population_25km,population_grid_count_25km,nearest_ecology_name,nearest_ecology_type,nearest_ecology_m,nearest_ecology_km,intersects_protected_area,nearest_sensitive_name,nearest_sensitive_type,nearest_sensitive_level,nearest_sensitive_m,nearest_sensitive_km,high_sensitive_count_3km,high_sensitive_count_5km,method_note,data_source
31,42,Krombeemden,park,310085.01,f,2026-06-21,89.29,38.67,0.01,14.74,40.14,Vliegbasis Gilze-Rijen,,,10713,10.71,15,1113992,89119,2132,Regte Heide & Riels Laag,B,12,0.01,f,Kindcentrum Kamelot,school,4,1474,1.47,11,21,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10713, sensitive_m=1474, ecology_m=12, weighted_population_25km=89119","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
32,26,Oude Warande,park,856273.42,f,2026-06-21,93.11,39.60,4.00,5.79,40.08,Vliegbasis Gilze-Rijen,,,6895,6.89,12,1141012,91281,2161,Regte Heide & Riels Laag,B,4004,4.00,f,Alles Kidz,school,4,579,0.58,30,69,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=6895, sensitive_m=579, ecology_m=4004, weighted_population_25km=91281","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
33,19,Wandelgebied Moerenburg,park,336030.48,f,2026-06-21,86.83,44.03,1.19,11.01,40.05,Vliegbasis Gilze-Rijen,,,13172,13.17,12,1268597,101488,2137,Kampina & Oisterwijkse Vennen,B,1189,1.19,f,De Nieuwste School,school,4,1101,1.10,28,78,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=13172, sensitive_m=1101, ecology_m=1189, weighted_population_25km=101488","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
34,21,"Camping/Jachthaven ""de Oude Pol""",camp_site,176786.07,f,2026-06-21,84.14,19.17,0.01,40.04,40.05,Lelystad Airport,,,15865,15.86,7,552338,44187,2109,Veluwerandmeren,C,9,0.01,f,Nuborgh College Veluvine,school,4,4004,4.00,0,1,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=15865, sensitive_m=4004, ecology_m=9, weighted_population_25km=44187","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
35,38,Reeshofbos,park,391946.87,f,2026-06-21,94.33,38.04,5.24,4.59,40.00,Vliegbasis Gilze-Rijen,,,5671,5.67,11,1096042,87683,2128,Regte Heide & Riels Laag,B,5241,5.24,f,OBS De Heerevelden,school,4,459,0.46,13,35,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=5671, sensitive_m=459, ecology_m=5241, weighted_population_25km=87683","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
36,39,Speelbos,park,62923.37,f,2026-06-21,93.34,37.63,5.10,5.45,39.79,Vliegbasis Gilze-Rijen,,,6657,6.66,12,1084001,86720,2094,Regte Heide & Riels Laag,B,5099,5.10,f,WipWap,school,4,545,0.54,23,44,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=6657, sensitive_m=545, ecology_m=5099, weighted_population_25km=86720","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
37,3,Hilvarenbeek lake recreation candidate,camp_site_recreation,1050000.00,t,2026-06-21,86.98,52.88,1.00,0.70,39.69,Vliegbasis Gilze-Rijen,,,13025,13.02,15,1523607,121889,2430,Kampina & Oisterwijkse Vennen,B,998,1.00,f,OSM sensitive facility 1272703886,school,4,70,0.07,33,78,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=13025, sensitive_m=70, ecology_m=998, weighted_population_25km=121889",Manual sample based on the plan's OSM candidate-site categories; for workflow validation.
38,27,Wandelbos,park,303887.95,f,2026-06-21,92.55,39.18,4.95,3.45,39.41,Vliegbasis Gilze-Rijen,,,7448,7.45,12,1128656,90292,2128,Regte Heide & Riels Laag,B,4951,4.95,f,WipWap,school,4,345,0.35,30,63,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=7448, sensitive_m=345, ecology_m=4951, weighted_population_25km=90292","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
39,22,Camping Polsmaten,camp_site,90275.00,f,2026-06-21,83.75,19.03,0.15,35.77,38.86,Lelystad Airport,,,16253,16.25,7,548339,43867,2098,Veluwerandmeren,C,150,0.15,f,Nuborgh College Veluvine,school,4,3577,3.58,0,4,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=16253, sensitive_m=3577, ecology_m=150, weighted_population_25km=43867","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
40,40,Drijflanen,park,313905.50,f,2026-06-21,93.30,38.12,5.32,0.59,38.73,Vliegbasis Gilze-Rijen,,,6699,6.70,12,1098380,87870,2115,Regte Heide & Riels Laag,B,5320,5.32,f,De Bodde (VSO),school,4,59,0.06,21,47,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=6699, sensitive_m=59, ecology_m=5320, weighted_population_25km=87870","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
