festival,edition_year,official_artist_id,artist_name,image_url,website,instagram,spotify,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,1790636355,Patrick Mason (house set),https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/126509883-image.png,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1563850917,Patrick Topping,,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1359292292,Pegassi,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/53716334-Pegassi-2024.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1536114040,Phi Phi,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/53904005-230722-144440-TML2023-0K1A0457-MP.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1790645140,Phuture Traxx,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/124065048-Phuture Traxx 3.png,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1532641836,Piaggio Disco Club,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/124082559-PDC-presspic2.jpeg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784878745,Pinotello,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/114045549-PINOTELLLO.jpeg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784797495,Pirapus,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/114045736-02.png,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1957125491,Plastik Funk,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/126510551-pf0118.jpg,,https://web.archive.org/web/20250719183439/https://www.instagram.com/plastikfunk/?hl=en,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1393192558,Portex,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/96825418-Portex-img-2025.jpg,,,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
